No,지역,지역,지역,2024년 3분기,2024년 4분기,2025년 1분기,2025년 2분기,2025년 3분기,2025년 4분기,2026년 1분기
No,지역,지역,지역,공실률,공실률,공실률,공실률,공실률,공실률,공실률
No,지역,지역,지역,%,%,%,%,%,%,%
242,전북,송천동,송천동,17.5,21.1,17.8,15.5,15.5,20.0,18.0
243,전북,영등부송,영등부송,19.6,21.3,17.8,14.6,15.2,15.2,14.6
244,전북,익산역,익산역,26.9,26.2,27.5,28.4,30.3,29.7,29.1
245,전북,전주동부,전주동부,26.3,26.9,28.7,25.6,24.6,27.6,27.0
246,전북,전주서부,전주서부,9.6,9.6,8.8,4.2,3.7,4.9,4.4
247,전북,전주서부신시가지,전주서부신시가지,14.3,11.3,12.0,16.1,13.1,10.0,11.9
248,전북,전주한옥마을,전주한옥마을,21.7,21.7,25.9,30.8,30.8,31.2,31.2
249,전북,정읍중심,정읍중심,27.9,27.0,27.0,29.1,29.1,29.0,27.4
250,전남,전남,전남,12.6,12.6,13.1,13.7,13.4,13.4,14.5
251,전남,광양읍,광양읍,4.3,3.0,3.0,5.4,4.5,7.4,11.4
252,전남,광양중동,광양중동,10.3,9.9,10.4,9.0,9.0,8.4,10.5
253,전남,나주구시가지,나주구시가지,5.2,5.2,5.2,5.2,5.2,4.2,5.9
254,전남,목포구도심,목포구도심,22.5,20.9,23.8,20.9,20.9,20.2,21.3
255,전남,무선지구,무선지구,10.3,4.4,6.5,8.1,9.3,5.4,5.4
256,전남,순천법원,순천법원,6.0,6.7,6.4,7.0,11.4,11.4,11.1
257,전남,순천원도심,순천원도심,30.2,29.2,30.4,31.9,29.5,30.2,29.6
258,전남,순천해룡면,순천해룡면,1.3,1.3,0.0,3.7,3.7,3.7,0.0
259,전남,여수여문,여수여문,10.7,10.7,11.7,12.4,12.0,12.0,13.5
260,전남,여수원도심,여수원도심,24.3,24.3,24.3,28.1,28.1,24.3,24.3
261,전남,여수학동,여수학동,10.7,15.0,13.0,13.0,13.0,13.0,14.2
262,전남,조례,조례,8.4,8.3,8.3,8.7,8.2,11.1,12.1
263,전남,하당신도심,하당신도심,15.0,17.3,16.3,16.5,13.9,13.8,18.6
264,경북,경북,경북,17.6,17.8,18.1,19.0,19.5,19.4,18.6
265,경북,가흥택지개발지구,가흥택지개발지구,2.6,0.0,0.0,0.0,0.0,2.2,2.2
266,경북,경산시청,경산시청,3.2,5.9,10.6,9.9,9.9,10.8,10.8
267,경북,경주도심,경주도심,15.0,15.0,15.0,18.8,22.1,14.6,17.0
268,경북,구미산업단지,구미산업단지,23.2,24.4,24.4,28.0,28.0,27.7,27.7
269,경북,구미선주원남동,구미선주원남동,9.9,6.9,8.6,8.9,8.9,6.6,11.7
270,경북,구미역,구미역,21.8,22.5,24.3,25.2,26.3,26.5,24.4
271,경북,문경점촌흥덕,문경점촌흥덕,21.7,22.1,21.7,23.3,22.0,20.2,15.0
272,경북,상주동문동,상주동문동,19.9,21.7,22.0,24.6,29.5,30.1,28.0
273,경북,안동구도심,안동구도심,16.2,16.2,16.2,17.3,18.2,18.2,19.8
274,경북,양덕동,양덕동,14.1,14.1,14.6,14.1,16.3,16.3,18.2
275,경북,영일대해수욕장,영일대해수욕장,19.9,19.9,16.6,16.6,16.6,18.7,21.6
276,경북,영주중앙,영주중앙,33.5,33.5,33.5,33.5,36.0,36.8,34.4
277,경북,옥동사거리,옥동사거리,18.3,17.4,17.4,17.4,15.2,17.3,11.5
278,경북,포항원도심,포항원도심,14.4,14.4,16.7,16.7,16.7,18.7,17.2
279,경북,포항중앙,포항중앙,36.4,37.3,34.9,34.9,33.7,33.7,32.8
280,경북,포항효자동,포항효자동,10.7,14.3,14.3,10.7,10.7,7.2,7.2
281,경남,경남,경남,15.8,16.9,17.4,17.7,17.5,17.8,17.8
282,경남,거제고현,거제고현,12.6,13.5,14.5,15.4,15.4,12.6,16.1
283,경남,거제옥포,거제옥포,29.5,30.7,32.6,35.1,35.5,35.3,34.5
284,경남,김해시청/동상시장,김해시청/동상시장,17.5,16.6,16.6,16.6,11.5,11.5,11.5
285,경남,마산동서동,마산동서동,11.0,16.1,13.6,13.6,13.6,13.6,13.8
